reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,num_images,n_bins
L2,0.002,41,0.868661647203442,0.9518,conv1,val,100.0,26032,30
L2,0.002,41,0.868661647203442,0.9518,conv3,train,99.52,25000,30
L2,0.002,41,0.868661647203442,0.9518,conv3,val,99.43531038721574,26032,30
L2,0.002,41,0.868661647203442,0.9518,fc1,train,7.144,25000,30
L2,0.002,41,0.868661647203442,0.9518,fc1,val,8.170712968653964,26032,30
L2,0.003,1,0.1958743085433313,0.18988,conv1,train,98.604,25000,30
L2,0.003,1,0.1958743085433313,0.18988,conv1,val,97.71051014136447,26032,30
L2,0.003,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.003,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.003,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.003,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.005,1,0.1958743085433313,0.18988,conv1,train,99.94,25000,30
L2,0.005,1,0.1958743085433313,0.18988,conv1,val,99.62354025814383,26032,30
L2,0.005,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.005,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.005,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.005,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.01,1,0.1958743085433313,0.18988,conv1,train,99.21600000000001,25000,30
L2,0.01,1,0.1958743085433313,0.18988,conv1,val,98.9820221266134,26032,30
L2,0.01,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.01,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.01,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.01,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.02,1,0.1958743085433313,0.18988,conv1,train,99.444,25000,30
L2,0.02,1,0.1958743085433313,0.18988,conv1,val,98.77842655193608,26032,30
L2,0.02,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.02,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.02,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.02,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.05,1,0.1958743085433313,0.18988,conv1,train,3.604,25000,30
L2,0.05,1,0.1958743085433313,0.18988,conv1,val,3.568684695759066,26032,30
L2,0.05,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.05,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.05,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.05,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,26032,30
L2,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,25000,30
L2,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,26032,30
L2,0.2,1,0.1958743085433313,0.18988,conv1,train,0.004,25000,30
