reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg_ORDERED,num_images,n_bins
Dropout,0.5,57,0.7244,0.91556,fc1,val,20.47,10000,10
Dropout,0.525,58,0.7271,0.90092,conv1,train,1.9959999999999998,25000,10
Dropout,0.525,58,0.7271,0.90092,conv1,val,3.37,10000,10
Dropout,0.525,58,0.7271,0.90092,conv3,train,3.728,25000,10
Dropout,0.525,58,0.7271,0.90092,conv3,val,4.3,10000,10
Dropout,0.525,58,0.7271,0.90092,fc1,train,20.408,25000,10
Dropout,0.525,58,0.7271,0.90092,fc1,val,21.55,10000,10
Dropout,0.55,58,0.7173,0.88832,conv1,train,1.8079999999999998,25000,10
Dropout,0.55,58,0.7173,0.88832,conv1,val,3.2099999999999995,10000,10
Dropout,0.55,58,0.7173,0.88832,conv3,train,2.152,25000,10
Dropout,0.55,58,0.7173,0.88832,conv3,val,2.12,10000,10
Dropout,0.55,58,0.7173,0.88832,fc1,train,11.484,25000,10
Dropout,0.55,58,0.7173,0.88832,fc1,val,12.590000000000002,10000,10
Dropout,0.575,46,0.7179,0.84796,conv1,train,1.352,25000,10
Dropout,0.575,46,0.7179,0.84796,conv1,val,2.2800000000000002,10000,10
Dropout,0.575,46,0.7179,0.84796,conv3,train,0.9079999999999999,25000,10
Dropout,0.575,46,0.7179,0.84796,conv3,val,1.0999999999999999,10000,10
Dropout,0.575,46,0.7179,0.84796,fc1,train,4.148000000000001,25000,10
Dropout,0.575,46,0.7179,0.84796,fc1,val,4.8,10000,10
Dropout,0.6,59,0.7112,0.85744,conv1,train,1.348,25000,10
Dropout,0.6,59,0.7112,0.85744,conv1,val,2.45,10000,10
Dropout,0.6,59,0.7112,0.85744,conv3,train,2.58,25000,10
Dropout,0.6,59,0.7112,0.85744,conv3,val,2.94,10000,10
Dropout,0.6,59,0.7112,0.85744,fc1,train,7.608,25000,10
Dropout,0.6,59,0.7112,0.85744,fc1,val,8.02,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,0.628,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,1.18,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,13.568,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,16.39,10000,10
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,41.908,25000,10
EarlyStopping,3.0,14,0.6854,0.92332,fc1,val,44.84,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv1,train,0.9079999999999999,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv1,val,1.63,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv3,train,37.272,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,conv3,val,42.0,10000,10
EarlyStopping,5.0,16,0.6845,0.9482,fc1,train,72.276,25000,10
EarlyStopping,5.0,16,0.6845,0.9482,fc1,val,74.45,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv1,train,0.496,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv1,val,0.8200000000000001,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv3,train,0.624,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,conv3,val,0.89,10000,10
EarlyStopping,8.0,11,0.6958,0.86676,fc1,train,8.328000000000001,25000,10
EarlyStopping,8.0,11,0.6958,0.86676,fc1,val,10.05,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv1,train,0.588,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv1,val,1.08,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv3,train,4.684,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,conv3,val,6.13,10000,10
EarlyStopping,12.0,13,0.6848,0.90624,fc1,train,22.184,25000,10
EarlyStopping,12.0,13,0.6848,0.90624,fc1,val,24.88,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv1,train,0.45599999999999996,25000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv1,val,0.8200000000000001,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv3,train,3.52,25000,10
EarlyStopping,15.0,12,0.6911,0.88412,conv3,val,4.45,10000,10
EarlyStopping,15.0,12,0.6911,0.88412,fc1,train,14.752,25000,10
EarlyStopping,15.0,12,0.6911,0.88412,fc1,val,16.54,10000,10
GaussianNoise,0.01,57,0.6967,1.0,conv1,train,1.08,25000,10
GaussianNoise,0.01,57,0.6967,1.0,conv1,val,2.03,10000,10
GaussianNoise,0.01,57,0.6967,1.0,conv3,train,92.91199999999999,25000,10
GaussianNoise,0.01,57,0.6967,1.0,conv3,val,94.43,10000,10
GaussianNoise,0.01,57,0.6967,1.0,fc1,train,100.0,25000,10
GaussianNoise,0.01,57,0.6967,1.0,fc1,val,100.0,10000,10
GaussianNoise,0.05,46,0.6811,0.9968,conv1,train,1.488,25000,10
GaussianNoise,0.05,46,0.6811,0.9968,conv1,val,2.54,10000,10
GaussianNoise,0.05,46,0.6811,0.9968,conv3,train,95.992,25000,10
GaussianNoise,0.05,46,0.6811,0.9968,conv3,val,97.11,10000,10
GaussianNoise,0.05,46,0.6811,0.9968,fc1,train,99.992,25000,10
GaussianNoise,0.05,46,0.6811,0.9968,fc1,val,99.99,10000,10
GaussianNoise,0.1,46,0.6602,0.99196,conv1,train,1.756,25000,10
GaussianNoise,0.1,46,0.6602,0.99196,conv1,val,3.38,10000,10
GaussianNoise,0.1,46,0.6602,0.99196,conv3,train,93.23599999999999,25000,10
GaussianNoise,0.1,46,0.6602,0.99196,conv3,val,94.83,10000,10
GaussianNoise,0.1,46,0.6602,0.99196,fc1,train,99.968,25000,10
GaussianNoise,0.1,46,0.6602,0.99196,fc1,val,99.99,10000,10
GaussianNoise,0.2,15,0.6339,0.8322,conv1,train,0.7080000000000001,25000,10
GaussianNoise,0.2,15,0.6339,0.8322,conv1,val,1.17,10000,10
GaussianNoise,0.2,15,0.6339,0.8322,conv3,train,2.496,25000,10
GaussianNoise,0.2,15,0.6339,0.8322,conv3,val,3.34,10000,10
GaussianNoise,0.2,15,0.6339,0.8322,fc1,train,26.119999999999997,25000,10
GaussianNoise,0.2,15,0.6339,0.8322,fc1,val,28.18,10000,10
L1,0.0,60,0.6936,1.0,conv1,train,1.032,25000,10
L1,0.0,60,0.6936,1.0,conv1,val,1.87,10000,10
L1,0.0,60,0.6936,1.0,conv3,train,93.42,25000,10
L1,0.0,60,0.6936,1.0,conv3,val,94.63000000000001,10000,10
L1,0.0,60,0.6936,1.0,fc1,train,100.0,25000,10
L1,0.0,60,0.6936,1.0,fc1,val,100.0,10000,10
L1,0.0001,18,0.6856,0.86348,conv1,train,0.388,25000,10
L1,0.0001,18,0.6856,0.86348,conv1,val,0.63,10000,10
L1,0.0001,18,0.6856,0.86348,conv3,train,2.12,25000,10
L1,0.0001,18,0.6856,0.86348,conv3,val,3.1,10000,10
L1,0.0001,18,0.6856,0.86348,fc1,train,9.751999999999999,25000,10
L1,0.0001,18,0.6856,0.86348,fc1,val,12.0,10000,10
L1,0.0005,49,0.5346,0.561,conv1,train,0.11199999999999999,25000,10
L1,0.0005,49,0.5346,0.561,conv1,val,0.2,10000,10
L1,0.0005,49,0.5346,0.561,conv3,train,0.004,25000,10
L1,0.0005,49,0.5346,0.561,conv3,val,0.01,10000,10
L1,0.0005,49,0.5346,0.561,fc1,train,3.7319999999999998,25000,10
L1,0.0005,49,0.5346,0.561,fc1,val,5.01,10000,10
L1,0.001,1,0.1,0.1012,conv1,train,0.02,25000,10
