reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
Dropout,0.475,55,0.7194,0.9208,fc1,train,25.112000000000002,1.1156731139305234,25000,30
Dropout,0.475,55,0.7194,0.9208,fc1,val,34.11,1.0897896786518395,10000,30
Dropout,0.5,57,0.7244,0.91556,conv1,train,5.692,1.287100845630169,25000,30
Dropout,0.5,57,0.7244,0.91556,conv1,val,9.51,1.2889009895741939,10000,30
Dropout,0.5,57,0.7244,0.91556,conv3,train,0.62,0.10137344744741916,25000,30
Dropout,0.5,57,0.7244,0.91556,conv3,val,1.3,0.10232880425751209,10000,30
Dropout,0.5,57,0.7244,0.91556,fc1,train,26.024,1.1762787102359533,25000,30
Dropout,0.5,57,0.7244,0.91556,fc1,val,35.32,1.1523247406601906,10000,30
Dropout,0.525,58,0.7271,0.90092,conv1,train,6.436,1.3482684809350967,25000,30
Dropout,0.525,58,0.7271,0.90092,conv1,val,10.86,1.3506454998850823,10000,30
Dropout,0.525,58,0.7271,0.90092,conv3,train,1.048,0.1368948947930336,25000,30
Dropout,0.525,58,0.7271,0.90092,conv3,val,2.0500000000000003,0.1368557344853878,10000,30
Dropout,0.525,58,0.7271,0.90092,fc1,train,27.496,1.1924497913333774,25000,30
Dropout,0.525,58,0.7271,0.90092,fc1,val,37.230000000000004,1.1661055411785841,10000,30
Dropout,0.55,58,0.7173,0.88832,conv1,train,5.788,1.3869095172977448,25000,30
Dropout,0.55,58,0.7173,0.88832,conv1,val,9.66,1.3884635509133338,10000,30
Dropout,0.55,58,0.7173,0.88832,conv3,train,0.672,0.11093256229698659,25000,30
Dropout,0.55,58,0.7173,0.88832,conv3,val,1.4500000000000002,0.11025101336985826,10000,30
Dropout,0.55,58,0.7173,0.88832,fc1,train,19.976,1.06127091968894,25000,30
Dropout,0.55,58,0.7173,0.88832,fc1,val,29.01,1.0376159869939088,10000,30
Dropout,0.575,46,0.7179,0.84796,conv1,train,5.384,1.4072398013806342,25000,30
Dropout,0.575,46,0.7179,0.84796,conv1,val,8.7,1.4090912620782852,10000,30
Dropout,0.575,46,0.7179,0.84796,conv3,train,0.832,0.15235050666123628,25000,30
Dropout,0.575,46,0.7179,0.84796,conv3,val,1.7399999999999998,0.15148397434800864,10000,30
Dropout,0.575,46,0.7179,0.84796,fc1,train,11.632000000000001,0.7830035252028704,25000,30
Dropout,0.575,46,0.7179,0.84796,fc1,val,18.38,0.7661578129850328,10000,30
Dropout,0.6,59,0.7112,0.85744,conv1,train,6.5040000000000004,1.3517641881465912,25000,30
Dropout,0.6,59,0.7112,0.85744,conv1,val,10.620000000000001,1.3546431015908718,10000,30
Dropout,0.6,59,0.7112,0.85744,conv3,train,1.16,0.14132740838736296,25000,30
Dropout,0.6,59,0.7112,0.85744,conv3,val,2.23,0.14076695124953986,10000,30
Dropout,0.6,59,0.7112,0.85744,fc1,train,16.744,0.9533286391943693,25000,30
Dropout,0.6,59,0.7112,0.85744,fc1,val,24.48,0.9329527561433614,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,train,2.6759999999999997,1.304603269226551,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv1,val,4.78,1.3101441146433352,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,train,3.068,0.3607780914750695,25000,30
EarlyStopping,3.0,14,0.6854,0.92332,conv3,val,5.55,0.35775111963450906,10000,30
EarlyStopping,3.0,14,0.6854,0.92332,fc1,train,39.828,1.2806746950489283,25000,30
