reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
EarlyStopping,8.0,11,0.6958,0.86676,fc1,train,0.2156857042036949,25000
EarlyStopping,8.0,11,0.6958,0.86676,fc1,val,0.21641351797521707,10000
EarlyStopping,12.0,13,0.6848,0.90624,conv1,train,0.8495567682007001,25000
EarlyStopping,12.0,13,0.6848,0.90624,conv1,val,0.8501854428326078,10000
EarlyStopping,12.0,13,0.6848,0.90624,conv3,train,0.391089481058509,25000
EarlyStopping,12.0,13,0.6848,0.90624,conv3,val,0.3911514353745709,10000
EarlyStopping,12.0,13,0.6848,0.90624,fc1,train,0.2607394793629932,25000
EarlyStopping,12.0,13,0.6848,0.90624,fc1,val,0.26214734826996555,10000
EarlyStopping,15.0,12,0.6911,0.88412,conv1,train,0.7834821077591572,25000
EarlyStopping,15.0,12,0.6911,0.88412,conv1,val,0.7837265621293783,10000
EarlyStopping,15.0,12,0.6911,0.88412,conv3,train,0.37803246012100455,25000
EarlyStopping,15.0,12,0.6911,0.88412,conv3,val,0.3784606320027778,10000
EarlyStopping,15.0,12,0.6911,0.88412,fc1,train,0.24195167254643324,25000
EarlyStopping,15.0,12,0.6911,0.88412,fc1,val,0.2428457312258215,10000
GaussianNoise,0.01,57,0.6967,1.0,conv1,train,0.9798912670272266,25000
GaussianNoise,0.01,57,0.6967,1.0,conv1,val,0.9801769681971925,10000
GaussianNoise,0.01,57,0.6967,1.0,conv3,train,1.0505120734876359,25000
GaussianNoise,0.01,57,0.6967,1.0,conv3,val,1.0532542998984713,10000
GaussianNoise,0.01,57,0.6967,1.0,fc1,train,1.1128289173905446,25000
GaussianNoise,0.01,57,0.6967,1.0,fc1,val,1.113127127545439,10000
GaussianNoise,0.05,46,0.6811,0.9968,conv1,train,1.0387631386711849,25000
GaussianNoise,0.05,46,0.6811,0.9968,conv1,val,1.0387841119977004,10000
GaussianNoise,0.05,46,0.6811,0.9968,conv3,train,0.9942424339147289,25000
GaussianNoise,0.05,46,0.6811,0.9968,conv3,val,0.9922999484052879,10000
GaussianNoise,0.05,46,0.6811,0.9968,fc1,train,1.0171476128334447,25000
GaussianNoise,0.05,46,0.6811,0.9968,fc1,val,1.0178568051450256,10000
GaussianNoise,0.1,46,0.6602,0.99196,conv1,train,1.003587980226266,25000
GaussianNoise,0.1,46,0.6602,0.99196,conv1,val,1.0030041535696166,10000
GaussianNoise,0.1,46,0.6602,0.99196,conv3,train,1.0321724132997123,25000
GaussianNoise,0.1,46,0.6602,0.99196,conv3,val,1.032719582464485,10000
GaussianNoise,0.1,46,0.6602,0.99196,fc1,train,0.9627064484005943,25000
GaussianNoise,0.1,46,0.6602,0.99196,fc1,val,0.9624311278789164,10000
GaussianNoise,0.2,15,0.6339,0.8322,conv1,train,0.793517952027188,25000
GaussianNoise,0.2,15,0.6339,0.8322,conv1,val,0.7931052882237375,10000
GaussianNoise,0.2,15,0.6339,0.8322,conv3,train,0.34808983656573417,25000
GaussianNoise,0.2,15,0.6339,0.8322,conv3,val,0.3479019836852483,10000
GaussianNoise,0.2,15,0.6339,0.8322,fc1,train,0.2736159694794548,25000
GaussianNoise,0.2,15,0.6339,0.8322,fc1,val,0.2750512534812744,10000
L1,0.0,60,0.6936,1.0,conv1,train,0.9830323154523006,25000
L1,0.0,60,0.6936,1.0,conv1,val,0.9831549725738253,10000
L1,0.0,60,0.6936,1.0,conv3,train,1.1169626475272436,25000
L1,0.0,60,0.6936,1.0,conv3,val,1.1190382728056931,10000
L1,0.0,60,0.6936,1.0,fc1,train,1.056092693010392,25000
L1,0.0,60,0.6936,1.0,fc1,val,1.0564104691709877,10000
L1,0.0001,18,0.6856,0.86348,conv1,train,0.6951501814333461,25000
