reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
GaussianNoise,0.1,18,0.3165,0.65128,fc1,val,1.3472159858307102,10000
GaussianNoise,0.2,17,0.3018,0.5124,conv1,train,0.9021968117761959,25000
GaussianNoise,0.2,17,0.3018,0.5124,conv1,val,0.9015097095093212,10000
GaussianNoise,0.2,17,0.3018,0.5124,conv3,train,0.8420528435223414,25000
GaussianNoise,0.2,17,0.3018,0.5124,conv3,val,0.8416678389742624,10000
GaussianNoise,0.2,17,0.3018,0.5124,fc1,train,0.8931592639427184,25000
GaussianNoise,0.2,17,0.3018,0.5124,fc1,val,0.8926788349607699,10000
L1,0.0001,20,0.3255,0.4886,conv1,train,0.8061077542706743,25000
L1,0.0001,20,0.3255,0.4886,conv1,val,0.8066415011034699,10000
L1,0.0001,20,0.3255,0.4886,conv3,train,0.8525614053901568,25000
L1,0.0001,20,0.3255,0.4886,conv3,val,0.8542050638084832,10000
L1,0.0001,20,0.3255,0.4886,fc1,train,0.9262558295279748,25000
L1,0.0001,20,0.3255,0.4886,fc1,val,0.9264869730277797,10000
L1,0.001,1,0.01,0.01112,conv1,train,0.7287121746096181,25000
L1,0.001,1,0.01,0.01112,conv1,val,0.7291760918712337,10000
L1,0.001,1,0.01,0.01112,conv3,train,0.016964173956239,25000
L1,0.001,1,0.01,0.01112,conv3,val,0.016868208062255773,10000
L1,0.001,1,0.01,0.01112,fc1,train,0.005259326423641388,25000
L1,0.001,1,0.01,0.01112,fc1,val,0.005231631852183453,10000
L1,0.01,1,0.01,0.011,conv1,train,0.28765625437222,25000
L1,0.01,1,0.01,0.011,conv1,val,0.28737849896701895,10000
L1,0.01,1,0.01,0.011,conv3,train,0.01626567873153074,25000
L1,0.01,1,0.01,0.011,conv3,val,0.01617371397573752,10000
L1,0.01,1,0.01,0.011,fc1,train,0.0053112908517837535,25000
L1,0.01,1,0.01,0.011,fc1,val,0.005283322631474714,10000
L1,0.05,1,0.01,0.0104,conv1,train,0.3005340031530897,25000
L1,0.05,1,0.01,0.0104,conv1,val,0.3002412598716335,10000
L1,0.05,1,0.01,0.0104,conv3,train,0.01733623505656171,25000
L1,0.05,1,0.01,0.0104,conv3,val,0.017238217204981542,10000
L1,0.05,1,0.01,0.0104,fc1,train,0.004771926487061153,25000
L1,0.05,1,0.01,0.0104,fc1,val,0.004746798236858009,10000
L1,0.1,1,0.01,0.01112,conv1,train,0.29248994023593733,25000
L1,0.1,1,0.01,0.01112,conv1,val,0.2922085625286761,10000
L1,0.1,1,0.01,0.01112,conv3,train,0.018388767918977228,25000
L1,0.1,1,0.01,0.01112,conv3,val,0.018284800205675248,10000
L1,0.1,1,0.01,0.01112,fc1,train,0.005235619943382745,25000
L1,0.1,1,0.01,0.01112,fc1,val,0.005208049846206136,10000
L2,0.0001,16,0.3404,0.666,conv1,train,0.8833966968647339,25000
L2,0.0001,16,0.3404,0.666,conv1,val,0.8826685386778355,10000
L2,0.0001,16,0.3404,0.666,conv3,train,1.1784996350802466,25000
L2,0.0001,16,0.3404,0.666,conv3,val,1.1788474732024068,10000
L2,0.0001,16,0.3404,0.666,fc1,train,1.2274811570123245,25000
L2,0.0001,16,0.3404,0.666,fc1,val,1.2287963495305054,10000
L2,0.001,24,0.322,0.661,conv1,train,1.1614376953693295,25000
L2,0.001,24,0.322,0.661,conv1,val,1.161676194400371,10000
L2,0.001,24,0.322,0.661,conv3,train,1.361594578081386,25000
L2,0.001,24,0.322,0.661,conv3,val,1.3609331472243733,10000
L2,0.001,24,0.322,0.661,fc1,train,1.4263076747615238,25000
L2,0.001,24,0.322,0.661,fc1,val,1.4275072222175902,10000
L2,0.01,1,0.01,0.01112,conv1,train,0.4839129565720144,25000
L2,0.01,1,0.01,0.01112,conv1,val,0.484168099404562,10000
L2,0.01,1,0.01,0.01112,conv3,train,0.01929713575988178,25000
L2,0.01,1,0.01,0.01112,conv3,val,0.01920288260532961,10000
L2,0.01,1,0.01,0.01112,fc1,train,0.006656423544385029,25000
L2,0.01,1,0.01,0.01112,fc1,val,0.006626075633108629,10000
L2,0.05,1,0.01,0.01052,conv1,train,0.2935787207256195,25000
L2,0.05,1,0.01,0.01052,conv1,val,0.293290805635514,10000
L2,0.05,1,0.01,0.01052,conv3,train,0.016974945343149226,25000
L2,0.05,1,0.01,0.01052,conv3,val,0.016878970281089787,10000
L2,0.05,1,0.01,0.01052,fc1,train,0.005044363756800743,25000
L2,0.05,1,0.01,0.01052,fc1,val,0.005017800830059677,10000
L2,0.1,1,0.01,0.01112,conv1,train,0.3158725225222697,25000
L2,0.1,1,0.01,0.01112,conv1,val,0.31556804426311025,10000
L2,0.1,1,0.01,0.01112,conv3,train,0.018678992359994276,25000
L2,0.1,1,0.01,0.01112,conv3,val,0.01857338234498818,10000
L2,0.1,1,0.01,0.01112,fc1,train,0.0051486251807166625,25000
L2,0.1,1,0.01,0.01112,fc1,val,0.005121513570892774,10000
