reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
EarlyStopping,8.0,16,0.3393,0.66168,conv3,train,2.636,0.5238042195975781,25000,10
EarlyStopping,8.0,16,0.3393,0.66168,conv3,val,3.7600000000000002,0.535012095990032,10000,10
EarlyStopping,8.0,16,0.3393,0.66168,fc1,train,29.784,1.284328283982277,25000,10
EarlyStopping,8.0,16,0.3393,0.66168,fc1,val,39.85,1.2847927738666534,10000,10
EarlyStopping,12.0,15,0.3301,0.63664,conv1,train,0.776,0.9750880656027794,25000,10
EarlyStopping,12.0,15,0.3301,0.63664,conv1,val,1.27,0.9771153296709061,10000,10
EarlyStopping,12.0,15,0.3301,0.63664,conv3,train,2.8240000000000003,0.5532150778907537,25000,10
EarlyStopping,12.0,15,0.3301,0.63664,conv3,val,4.569999999999999,0.5633228820815682,10000,10
EarlyStopping,12.0,15,0.3301,0.63664,fc1,train,35.292,1.3200737304258348,25000,10
EarlyStopping,12.0,15,0.3301,0.63664,fc1,val,47.29,1.3228567780017852,10000,10
GaussianNoise,0.01,14,0.3279,0.56748,conv1,train,0.66,0.9824175817036629,25000,10
GaussianNoise,0.01,14,0.3279,0.56748,conv1,val,1.24,0.983867256385088,10000,10
GaussianNoise,0.01,14,0.3279,0.56748,conv3,train,2.344,0.43883745580434796,25000,10
GaussianNoise,0.01,14,0.3279,0.56748,conv3,val,3.7800000000000002,0.44760050171762705,10000,10
GaussianNoise,0.01,14,0.3279,0.56748,fc1,train,24.740000000000002,1.2304570026183128,25000,10
GaussianNoise,0.01,14,0.3279,0.56748,fc1,val,34.42,1.2334817856967448,10000,10
GaussianNoise,0.05,16,0.3239,0.63788,conv1,train,0.764,0.9435402772784233,25000,10
GaussianNoise,0.05,16,0.3239,0.63788,conv1,val,1.3599999999999999,0.9446559381783008,10000,10
GaussianNoise,0.05,16,0.3239,0.63788,conv3,train,3.744,0.6193702176198363,25000,10
GaussianNoise,0.05,16,0.3239,0.63788,conv3,val,6.05,0.6295846307009458,10000,10
