reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,unique_pctg,entropy,num_images,n_bins
GaussianNoise,0.05,55,0.8672787338660111,0.998,fc1,train,10.372,0.7552222507819534,25000,10
GaussianNoise,0.05,55,0.8672787338660111,0.998,fc1,val,11.259219422249538,0.7719248967787873,26032,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv1,train,0.156,0.7130027413499356,25000,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv1,val,0.14981561155500922,0.7375580386556891,26032,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv3,train,0.188,0.017131062767207623,25000,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv3,val,0.18822987092808852,0.02137772909141779,26032,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,fc1,train,1.18,0.49204437533557416,25000,10
GaussianNoise,0.1,25,0.865319606637984,0.97944,fc1,val,1.2945605408727718,0.48068798578629923,26032,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv1,train,0.212,0.5785624495887757,25000,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv1,val,0.21896127842655194,0.631296885478612,26032,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv3,train,0.124,0.006541984607577324,25000,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv3,val,0.10755992624462202,0.0069767647885363125,26032,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,fc1,train,0.5,0.3295362631368637,25000,10
GaussianNoise,0.2,29,0.8608635525507068,0.95912,fc1,val,0.6107867240319607,0.32595966983021,26032,10
L1,0.0001,34,0.8608635525507068,0.96292,conv1,train,0.12,0.7078810467541218,25000,10
L1,0.0001,34,0.8608635525507068,0.96292,conv1,val,0.11908420405654578,0.6979984968669424,26032,10
L1,0.0001,34,0.8608635525507068,0.96292,conv3,train,0.116,0.012992751298248768,25000,10
L1,0.0001,34,0.8608635525507068,0.96292,conv3,val,0.11140135218192994,0.01518771318305506,26032,10
L1,0.0001,34,0.8608635525507068,0.96292,fc1,train,0.532,0.3251714216262102,25000,10
L1,0.0001,34,0.8608635525507068,0.96292,fc1,val,0.541641057160418,0.31043124944000255,26032,10
L1,0.001,1,0.1958743085433313,0.18988,conv1,train,0.036000000000000004,0.4049832177913189,25000,10
L1,0.001,1,0.1958743085433313,0.18988,conv1,val,0.034572833435771354,0.4182341665695819,26032,10
L1,0.001,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L1,0.001,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L1,0.001,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L1,0.001,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L1,0.01,1,0.1958743085433313,0.18988,conv1,train,0.004,0.0,25000,10
L1,0.01,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,0.0,26032,10
L1,0.01,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L1,0.01,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L1,0.01,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L1,0.01,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L1,0.05,1,0.1958743085433313,0.18988,conv1,train,0.004,0.0,25000,10
L1,0.05,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,0.0,26032,10
L1,0.05,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L1,0.05,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L1,0.05,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L1,0.05,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L1,0.1,1,0.1958743085433313,0.18988,conv1,train,0.004,0.0,25000,10
L1,0.1,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,0.0,26032,10
L1,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L1,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L1,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L1,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L2,0.0001,51,0.8809542102028273,1.0,conv1,train,0.432,1.2502582589638234,25000,10
L2,0.0001,51,0.8809542102028273,1.0,conv1,val,0.45328826060233557,1.2707155566358024,26032,10
L2,0.0001,51,0.8809542102028273,1.0,conv3,train,0.216,0.029024458293616773,25000,10
L2,0.0001,51,0.8809542102028273,1.0,conv3,val,0.23048555623847575,0.03333528667600218,26032,10
L2,0.0001,51,0.8809542102028273,1.0,fc1,train,2.6679999999999997,0.7148572150543332,25000,10
L2,0.0001,51,0.8809542102028273,1.0,fc1,val,2.9079594345421023,0.7118285812807316,26032,10
L2,0.001,29,0.8736170866625691,0.97988,conv1,train,0.384,1.253553195593357,25000,10
L2,0.001,29,0.8736170866625691,0.97988,conv1,val,0.36877688998156116,1.2528849693064446,26032,10
L2,0.001,29,0.8736170866625691,0.97988,conv3,train,0.068,0.0012074396181106567,25000,10
L2,0.001,29,0.8736170866625691,0.97988,conv3,val,0.06146281499692685,0.00153944600080429,26032,10
L2,0.001,29,0.8736170866625691,0.97988,fc1,train,0.268,0.4057177493163943,25000,10
L2,0.001,29,0.8736170866625691,0.97988,fc1,val,0.33036263060848187,0.403409687568077,26032,10
L2,0.01,1,0.1958743085433313,0.18988,conv1,train,0.024,0.059928520630598066,25000,10
L2,0.01,1,0.1958743085433313,0.18988,conv1,val,0.023048555623847573,0.07508688400251666,26032,10
L2,0.01,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L2,0.01,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L2,0.01,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L2,0.01,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L2,0.05,1,0.1958743085433313,0.18988,conv1,train,0.004,0.0,25000,10
L2,0.05,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,0.0,26032,10
L2,0.05,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L2,0.05,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L2,0.05,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L2,0.05,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
L2,0.1,1,0.1958743085433313,0.18988,conv1,train,0.004,0.0,25000,10
L2,0.1,1,0.1958743085433313,0.18988,conv1,val,0.003841425937307928,0.0,26032,10
L2,0.1,1,0.1958743085433313,0.18988,conv3,train,0.004,0.0,25000,10
L2,0.1,1,0.1958743085433313,0.18988,conv3,val,0.003841425937307928,0.0,26032,10
L2,0.1,1,0.1958743085433313,0.18988,fc1,train,0.004,0.0,25000,10
L2,0.1,1,0.1958743085433313,0.18988,fc1,val,0.003841425937307928,0.0,26032,10
