reg_method,reg_val,best_epoch,val_acc,train_acc,layer,split,dispersion_ratio,num_images
GaussianNoise,0.05,55,0.8672787338660111,0.998,conv3,val,1.0204004633777937,26032
GaussianNoise,0.05,55,0.8672787338660111,0.998,fc1,train,1.0073539765929267,25000
GaussianNoise,0.05,55,0.8672787338660111,0.998,fc1,val,1.0175234080722317,26032
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv1,train,0.9045655565671813,25000
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv1,val,0.9072069498400351,26032
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv3,train,0.5506059213714333,25000
GaussianNoise,0.1,25,0.865319606637984,0.97944,conv3,val,0.554653618698958,26032
GaussianNoise,0.1,25,0.865319606637984,0.97944,fc1,train,0.48699253080979416,25000
GaussianNoise,0.1,25,0.865319606637984,0.97944,fc1,val,0.49121954488930325,26032
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv1,train,0.8606189212671967,25000
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv1,val,0.863446856183562,26032
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv3,train,0.48452267857313913,25000
GaussianNoise,0.2,29,0.8608635525507068,0.95912,conv3,val,0.4887536081385525,26032
GaussianNoise,0.2,29,0.8608635525507068,0.95912,fc1,train,0.3876662104076297,25000
GaussianNoise,0.2,29,0.8608635525507068,0.95912,fc1,val,0.39864145099084525,26032
L1,0.0001,34,0.8608635525507068,0.96292,conv1,train,1.011981622774697,25000
L1,0.0001,34,0.8608635525507068,0.96292,conv1,val,1.0090939675902642,26032
L1,0.0001,34,0.8608635525507068,0.96292,conv3,train,0.604397773250934,25000
L1,0.0001,34,0.8608635525507068,0.96292,conv3,val,0.6008442724200609,26032
L1,0.0001,34,0.8608635525507068,0.96292,fc1,train,0.3445507161461539,25000
L1,0.0001,34,0.8608635525507068,0.96292,fc1,val,0.33920741996368253,26032
L1,0.001,1,0.1958743085433313,0.18988,conv1,train,0.5278057551127673,25000
L1,0.001,1,0.1958743085433313,0.18988,conv1,val,0.5074110321930737,26032
L1,0.001,1,0.1958743085433313,0.18988,conv3,train,0.015058343539514291,25000
L1,0.001,1,0.1958743085433313,0.18988,conv3,val,0.014678189892491872,26032
L1,0.001,1,0.1958743085433313,0.18988,fc1,train,0.003938458036272593,25000
L1,0.001,1,0.1958743085433313,0.18988,fc1,val,0.0038567185406731,26032
L1,0.01,1,0.1958743085433313,0.18988,conv1,train,0.19699840950069347,25000
L1,0.01,1,0.1958743085433313,0.18988,conv1,val,0.18444793937257564,26032
L1,0.01,1,0.1958743085433313,0.18988,conv3,train,0.007629570799708196,25000
L1,0.01,1,0.1958743085433313,0.18988,conv3,val,0.0073915013336512125,26032
L1,0.01,1,0.1958743085433313,0.18988,fc1,train,0.00226835878454562,25000
L1,0.01,1,0.1958743085433313,0.18988,fc1,val,0.0022150593317655514,26032
L1,0.05,1,0.1958743085433313,0.18988,conv1,train,0.2654067798339846,25000
L1,0.05,1,0.1958743085433313,0.18988,conv1,val,0.2484942893700682,26032
L1,0.05,1,0.1958743085433313,0.18988,conv3,train,0.008048535138798555,25000
L1,0.05,1,0.1958743085433313,0.18988,conv3,val,0.007797393169897724,26032
L1,0.05,1,0.1958743085433313,0.18988,fc1,train,0.001419479255395099,25000
L1,0.05,1,0.1958743085433313,0.18988,fc1,val,0.0013861257660475062,26032
L1,0.1,1,0.1958743085433313,0.18988,conv1,train,0.21906984553326056,25000
L1,0.1,1,0.1958743085433313,0.18988,conv1,val,0.20513232762335257,26032
L1,0.1,1,0.1958743085433313,0.18988,conv3,train,0.008263038872728931,25000
L1,0.1,1,0.1958743085433313,0.18988,conv3,val,0.008005203024796152,26032
L1,0.1,1,0.1958743085433313,0.18988,fc1,train,0.0014443475782984821,25000
L1,0.1,1,0.1958743085433313,0.18988,fc1,val,0.0014104098537762357,26032
L2,0.0001,51,0.8809542102028273,1.0,conv1,train,1.3558432958104458,25000
L2,0.0001,51,0.8809542102028273,1.0,conv1,val,1.355937078391286,26032
L2,0.0001,51,0.8809542102028273,1.0,conv3,train,0.6006168136532894,25000
L2,0.0001,51,0.8809542102028273,1.0,conv3,val,0.6047387019661555,26032
L2,0.0001,51,0.8809542102028273,1.0,fc1,train,0.6321603537156391,25000
L2,0.0001,51,0.8809542102028273,1.0,fc1,val,0.638793915497465,26032
L2,0.001,29,0.8736170866625691,0.97988,conv1,train,1.6208469095179512,25000
L2,0.001,29,0.8736170866625691,0.97988,conv1,val,1.6292801120216331,26032
L2,0.001,29,0.8736170866625691,0.97988,conv3,train,0.4504072507748467,25000
L2,0.001,29,0.8736170866625691,0.97988,conv3,val,0.45631508249916797,26032
L2,0.001,29,0.8736170866625691,0.97988,fc1,train,0.3038959680159133,25000
L2,0.001,29,0.8736170866625691,0.97988,fc1,val,0.3113704641150589,26032
